$GPGGA,192049.000,4238.8307,N,07107.9421,W,1,4,1.77,101.5,M,-33.5,M,,*6F
$GPGGA,192050.000,4238.8313,N,07107.9428,W,1,3,2.23,101.5,M,-33.5,M,,*6E
$GPGGA,192051.000,4238.8319,N,07107.9435,W,1,3,2.23,101.4,M,-33.5,M,,*68
$GPGGA,192052.000,4238.8324,N,07107.9444,W,1,3,2.23,101.3,M,-33.5,M,,*64
$GPGGA,192053.000,4238.8329,N,07107.9453,W,1,3,2.23,101.3,M,-33.5,M,,*6E
$GPGGA,192054.000,4238.8335,N,07107.9462,W,1,3,2.23,101.2,M,-33.5,M,,*67
$GPGGA,192055.000,4238.8341,N,07107.9470,W,1,3,2.23,101.2,M,-33.5,M,,*66
$GPGGA,192056.000,4238.8348,N,07107.9477,W,1,3,2.23,101.1,M,-33.5,M,,*68
$GPGGA,192057.000,4238.8354,N,07107.9485,W,6,2,99.99,101.1,M,-33.5,M,,*5C
$GPGGA,192058.000,4238.8360,N,07107.9493,W,6,2,99.99,101.0,M,-33.5,M,,*52
$GPGGA,192329.000,4238.8179,N,07107.9336,W,1,3,2.63,97.4,M,-33.5,M,,*5E
$GPGGA,192330.000,4238.8179,N,07107.9330,W,1,3,2.63,100.2,M,-33.5,M,,*69
$GPGGA,192331.000,4238.8173,N,07107.9322,W,1,3,2.64,101.4,M,-33.5,M,,*61
$GPGGA,192332.000,4238.8168,N,07107.9318,W,1,3,2.64,102.0,M,-33.5,M,,*66
$GPGGA,192333.000,4238.8165,N,07107.9315,W,1,3,2.63,102.3,M,-33.5,M,,*63
$GPGGA,192334.000,4238.8165,N,07107.9315,W,1,3,2.63,102.5,M,-33.5,M,,*62
$GPGGA,192335.000,4238.8162,N,07107.9318,W,1,3,2.63,102.6,M,-33.5,M,,*6A
$GPGGA,192336.000,4238.8155,N,07107.9317,W,1,3,2.64,102.6,M,-33.5,M,,*65
$GPGGA,192337.000,4238.8150,N,07107.9313,W,1,3,2.64,102.7,M,-33.5,M,,*64
$GPGGA,192338.000,4238.8146,N,07107.9310,W,1,3,2.64,102.7,M,-33.5,M,,*6F
$GPGGA,192339.000,4238.8137,N,07107.9304,W,1,3,2.64,102.7,M,-33.5,M,,*6D
$GPGGA,192340.000,4238.8130,N,07107.9297,W,1,3,2.64,102.7,M,-33.5,M,,*6F
$GPGGA,192341.000,4238.8141,N,07107.9329,W,1,4,1.71,101.4,M,-33.5,M,,*6C
$GPGGA,192342.000,4238.8147,N,07107.9350,W,1,4,1.71,100.3,M,-33.5,M,,*61
$GPGGA,192343.000,4238.8150,N,07107.9372,W,1,4,1.71,99.4,M,-33.5,M,,*50
$GPGGA,192344.000,4238.8163,N,07107.9413,W,1,4,1.71,97.7,M,-33.5,M,,*5A
$GPGGA,192345.000,4238.8174,N,07107.9451,W,1,5,1.52,95.9,M,-33.5,M,,*57
$GPGGA,192346.000,4238.8178,N,07107.9473,W,1,5,1.52,94.8,M,-33.5,M,,*58
$GPGGA,192347.000,4238.8182,N,07107.94,210317,,,A*71
$GPGGA,192408.000,4238.8125,N,07107.9430,W,1,6,1.39,89.6,M,-33.5,M,,*56
$GPGGA,192409.000,4238.8126,N,07107.9432,W,1,6,1.39,89.6,M,-33.5,M,,*56
